time,lat,lon,dev_acc_d
"2022-03-19 15:43:14",35.72172,51.4156717,3.34729
"2022-03-19 15:43:19",35.72172,51.4156717,3.34729
"2022-03-19 15:43:24",35.72172,51.4156717,3.34729
"2022-03-19 15:43:29",35.72172,51.4156717,3.34729
"2022-03-19 15:43:34",35.72172,51.4156717,3.34729
"2022-03-19 15:43:39",35.72172,51.4156717,3.34729
"2022-03-19 15:43:44",35.72172,51.4156717,3.34729
"2022-03-19 15:43:49",35.72172,51.4156717,3.34729
"2022-03-19 15:43:54",35.72172,51.4156717,3.34729
"2022-03-19 15:43:59",35.72172,51.4156717,3.34729
"2022-03-19 15:44:04",35.72172,51.4156717,3.34729
"2022-03-19 15:44:09",35.72172,51.4156717,3.34729
"2022-03-19 15:44:14",35.72172,51.4156717,3.34729
"2022-03-19 15:44:19",35.72172,51.4156717,3.34729
"2022-03-19 15:44:24",35.72172,51.4156717,3.34729
"2022-03-19 15:44:29",35.72172,51.4156717,3.34729
"2022-03-19 15:44:34",35.72172,51.4156717,3.34729
"2022-03-19 15:44:39",35.72172,51.4156717,3.34729
"2022-03-19 15:44:44",35.72172,51.4156717,3.34729
"2022-03-19 15:44:49",35.72172,51.4156717,3.34729
"2022-03-19 15:44:54",35.72172,51.4156717,3.34729
"2022-03-19 15:44:59",35.7214628,51.41566,3.37592
"2022-03-19 15:45:04",35.7210423,51.4155485,3.42376
"2022-03-19 15:45:09",35.7206107,51.4154257,3.47303
"2022-03-19 15:45:14",35.7204894,51.4155062,3.48836
"2022-03-19 15:45:19",35.7206234,51.4155675,3.50426
"2022-03-19 15:45:24",35.720992,51.4156375,3.54574
"2022-03-19 15:45:29",35.7212634,51.4158351,3.58081
"2022-03-19 15:45:34",35.7212898,51.4164139,3.63316
"2022-03-19 15:45:39",35.7213032,51.4168471,3.67231
"2022-03-19 15:45:44",35.7213288,51.4173741,3.71998
"2022-03-19 15:45:49",35.7213386,51.4179042,3.76786
"2022-03-19 15:45:54",35.7213673,51.4182846,3.80236
"2022-03-19 15:45:59",35.7213218,51.4184216,3.81573
"2022-03-19 15:46:04",35.7213173,51.4187122,3.84198
"2022-03-19 15:46:09",35.7213197,51.4191936,3.88545
"2022-03-19 15:46:14",35.7213018,51.419686,3.92996
"2022-03-19 15:46:19",35.7213285,51.4202591,3.9818
"2022-03-19 15:46:24",35.7213415,51.4206198,4.0144
"2022-03-19 15:46:29",35.7213061,51.4207543,4.02717
"2022-03-19 15:46:34",35.7211036,51.420862,4.05171
"2022-03-19 15:46:39",35.7207428,51.4210043,4.09384
"2022-03-19 15:46:44",35.7205935,51.4211516,4.11512
"2022-03-19 15:46:49",35.7208702,51.4210855,4.14647
"2022-03-19 15:46:54",35.7213585,51.4208418,4.20508
"2022-03-19 15:46:59",35.7218412,51.4206411,4.26174
"2022-03-19 15:47:04",35.7219215,51.4207432,4.27458
"2022-03-19 15:47:09",35.7219534,51.4209985,4.29791
"2022-03-19 15:47:14",35.7219946,51.4215529,4.34818
"2022-03-19 15:47:19",35.7219971,51.4218668,4.37653
"2022-03-19 15:47:24",35.7220934,51.4219892,4.39192
"2022-03-19 15:47:29",35.722051,51.4222372,4.4148
"2022-03-19 15:47:34",35.7220354,51.4222978,4.42054
"2022-03-19 15:47:39",35.7220121,51.4222852,4.42338
"2022-03-19 15:47:44",35.7220117,51.422285,4.42342
"2022-03-19 15:47:49",35.7218887,51.4222756,4.43713
"2022-03-19 15:47:54",35.7218054,51.4222883,4.44647
"2022-03-19 15:47:59",35.7218298,51.4222728,4.44952
"2022-03-19 15:48:04",35.7218348,51.4222718,4.45008
"2022-03-19 15:48:09",35.721835,51.4222717,4.45011
"2022-03-19 15:48:14",35.721835,51.4222717,4.45011
"2022-03-19 15:48:19",35.721835,51.4222717,4.45011
"2022-03-19 15:48:24",35.721835,51.4222717,4.45011
"2022-03-19 15:48:29",35.721835,51.4222717,4.45011
"2022-03-19 15:48:34",35.721835,51.4222717,4.45011
"2022-03-19 15:48:39",35.721835,51.4222717,4.45011
"2022-03-19 15:48:44",35.721835,51.4222717,4.45011
"2022-03-19 15:48:49",35.721835,51.4222717,4.45011
"2022-03-19 15:48:54",35.721835,51.4222717,4.45011
"2022-03-19 15:48:59",35.721835,51.4222717,4.45011
"2022-03-19 15:49:04",35.721835,51.4222717,4.45011
"2022-03-19 15:49:09",35.721835,51.4222717,4.45011
"2022-03-19 15:49:14",35.721835,51.4222717,4.45011
"2022-03-19 15:49:19",35.721835,51.4222717,4.45011
"2022-03-19 15:49:24",35.721835,51.4222717,4.45011
"2022-03-19 15:49:29",35.721835,51.4222717,4.45011
"2022-03-19 15:49:34",35.721835,51.4222717,4.45011
"2022-03-19 15:49:39",35.721835,51.4222717,4.45011
"2022-03-19 15:49:44",35.721835,51.4222717,4.45011
"2022-03-19 15:49:49",35.721835,51.4222717,4.45011
"2022-03-19 15:49:54",35.721835,51.4222717,4.45011
"2022-03-19 15:49:59",35.721835,51.4222717,4.45011
"2022-03-19 15:50:04",35.721835,51.4222717,4.45011
"2022-03-19 15:50:09",35.721835,51.4222717,4.45011
"2022-03-19 15:50:14",35.721835,51.4222717,4.45011
"2022-03-19 15:50:19",35.721835,51.4222717,4.45011
"2022-03-19 15:50:24",35.721835,51.4222717,4.45011
"2022-03-19 15:50:29",35.721835,51.4222717,4.45011
"2022-03-19 15:50:34",35.721835,51.4222717,4.45011
"2022-03-19 15:50:39",35.7219188,51.4222218,4.46046
"2022-03-19 15:50:44",35.7219296,51.4222169,4.46174
"2022-03-19 15:50:49",35.72193,51.4222167,4.46179
"2022-03-19 15:50:54",35.72193,51.4222167,4.46179
"2022-03-19 15:50:59",35.72193,51.4222167,4.46179
"2022-03-19 15:51:04",35.72193,51.4222167,4.46179
"2022-03-19 15:51:12",35.7218458,51.4222082,4.47119
